SCHOOL NO.,ENGLISH CATEGORY,ENGLISH NAME,ENGLISH ADDRESS,LONGITUDE,LATITUDE,EASTING,NORTHING,STUDENTS GENDER,SESSION,DISTRICT,FINANCE TYPE,SCHOOL LEVEL,TELEPHONE,FAX NUMBER,WEBSITE,RELIGION
610160000223,Aided Primary Schools,TWGHS TSOI WING SING PRIMARY SCHOOL,"19 POK CHUEN STREET, SHATIN, NEW TERRITORIES",114.19910879,22.36829879,838558.0,825459.0,CO-ED,WHOLE DAY,SHA TIN,AIDED,PRIMARY,29593606,29593615,https://www.twghtwsps.edu.hk,NOT APPLICABLE
131806000123,Aided Primary Schools,IU SHAN SCHOOL,24 GRAMPIAN ROAD KOWLOON,114.18672667,22.33007366,837283.0,821226.0,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,23362115,23363144,http://www.iushan.edu.hk,NOT APPLICABLE
617407000123,Aided Primary Schools,TWGHS TSENG HIN PEI PRIMARY SCHOOL,"53 LUNG MA ROAD, FANLING, NEW TERRITORIES",114.15553194,22.50385522,834072.0,840470.0,CO-ED,WHOLE DAY,NORTH,AIDED,PRIMARY,23709811,23709819,https://www.thpps.edu.hk,NOT APPLICABLE
618128000123,Aided Primary Schools,THE SALVATION ARMY CENTALINE CHARITY FUND QUEEN'S HILL SCHOOL,"2 LUNG CHUN ROAD, FANLING, NEW TERRITORIES",114.15574568,22.50434289,834094.0,840524.0,CO-ED,WHOLE DAY,NORTH,AIDED,PRIMARY,31510323,31510333,https://www.saccfqhs.edu.hk,PROTESTANTISM / CHRISTIANITY
543268000123,Aided Primary Schools,TSZ WAN SHAN CATHOLIC PRIMARY SCHOOL,172 PO KONG VILLAGE ROAD WONG TAI SIN KOWLOON,114.20432802,22.34584804,839096.0,822973.0,CO-ED,WHOLE DAY,WONG TAI SIN,AIDED,PRIMARY,23273332,23276662,http://www.twscps.edu.hk,CATHOLICISM
512648000123,Aided Primary Schools,LI SING TAI HANG SCHOOL,73 WUN SHA STREET TAI HANG HONG KONG,114.19392261,22.27724398,838025.0,815376.0,CO-ED,WHOLE DAY,WAN CHAI,AIDED,PRIMARY,25775188,28824510,https://www.lsths.edu.hk/lishing,NOT APPLICABLE
513610000123,Aided Primary Schools,S.K.H. ST. MICHAEL'S PRIMARY SCHOOL,23 FORTRESS HILL ROAD NORTH POINT HONG KONG,114.19563178,22.28793606,838201.0,816560.0,CO-ED,WHOLE DAY,EASTERN,AIDED,PRIMARY,25709473,25034378,http://www.skhsms.edu.hk,PROTESTANTISM / CHRISTIANITY
512591000123,Aided Primary Schools,LA SALLE PRIMARY SCHOOL,1D LA SALLE ROAD KOWLOON,114.18120347,22.32752728,836714.0,820944.0,BOYS,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,23362609,23363153,https://www.la-salle.edu.hk,CATHOLICISM
112950000223,Aided Primary Schools,IMMACULATE HEART OF MARY SCHOOL,"1 MEI TIN ROAD, TAI WAI, SHA TIN, NEW TERRITORIES",114.17597138,22.37089209,836175.0,825746.0,CO-ED,WHOLE DAY,SHA TIN,AIDED,PRIMARY,26912171,26021110,https://www.ihms.edu.hk/it-school/php/webcms/public/mainpage/main.php3,CATHOLICISM
115100000123,Aided Primary Schools,YAN CHAI HOSPITAL HO SIK NAM PRIMARY SCHOOL,"STANDARD PRIMARY SCHOOL, AREA 16, TUEN MUN, NEW TERRITORIES",113.97162353,22.38503016,815131.0,827326.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24510325,24508514,https://www.hosiknam.edu.hk,NOT APPLICABLE
115460000123,Aided Primary Schools,SHA TAU KOK CENTRAL PRIMARY SCHOOL,SHA TAU KOK HUI SHA TAU KOK NT,114.22340285,22.54658158,841054.0,845202.0,CO-ED,WHOLE DAY,NORTH,AIDED,PRIMARY,26749080,26592055,https://www.stkcps.edu.hk/it-school/php/webcms/public/mainpage/main.php3,NOT APPLICABLE
540218000123,Aided Primary Schools,S.K.H. FUNG KEI MILLENNIUM PRIMARY SCHOOL,2 TAK TING STREET WHAMPOA GARDEN HUNG HOM KOWLOON,114.19125706,22.30442642,837750.0,818386.0,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,"23627123,23627229",23637898,https://www.fkmps.edu.hk,PROTESTANTISM / CHRISTIANITY
511420000123,Aided Primary Schools,CHAN SUI KI (LA SALLE) PRIMARY SCHOOL,22 SHEUNG SHING STREET HOMANTIN KOWLOON,114.18114496,22.3187676,836708.0,819974.0,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,27116278,27140854,https://www.cskps.edu.hk,CATHOLICISM
560634000123,Aided Primary Schools,THE CHURCH OF CHRIST IN CHINA WANCHAI CHURCH KEI TO PRIMARY SCHOOL (KOWLOON CITY),170 KAU PUI LUNG ROAD KOWLOON CITY KOWLOON,114.18596859,22.31550736,837205.0,819613.0,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,27147000,27147744,https://ktkc.edu.hk,PROTESTANTISM / CHRISTIANITY
513644000123,Aided Primary Schools,S.K.H. ST. TIMOTHY'S PRIMARY SCHOOL,14 & 19 HOK YUEN STREET HUNG HOM KOWLOON,114.1869,22.31073012,837301.0,819084.0,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,23625953,23652050,https://www.stps.edu.hk,PROTESTANTISM / CHRISTIANITY
112755000123,Aided Primary Schools,YUEN LONG PO KOK PRIMARY SCHOOL,"55 TAN KWAI TSUEN ROAD, HUNG SHUI KIU, YUEN LONG, NEW TERRITORIES",113.99898856,22.43010652,817955.0,832314.0,CO-ED,WHOLE DAY,YUEN LONG,AIDED,PRIMARY,24762258,24746894,https://ylpokok.edu.hk,BUDDHISM
114510000223,Aided Primary Schools,PO LEUNG KUK VICWOOD K.T. CHONG NO.2 PRIMARY SCHOOL,"2 LEUNG CHOI LANE, TUEN MUN, NEW TERRITORIES (EXCEPT GAS STORE ROOM)",113.96942905,22.40461445,814908.0,829495.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24621722,24627901,https://www.plkvktc2.edu.hk/index/index44.aspx,NOT APPLICABLE
513474000123,Aided Primary Schools,S.K.H. KEI LOK PRIMARY SCHOOL,ESTATE PRIMARY SCHOOL LOK WAH ESTATE PHASE I NGAU TAU KOK KOWLOON,114.21996913,22.32028809,840708.0,820143.0,CO-ED,WHOLE DAY,KWUN TONG,AIDED,PRIMARY,27555611,27508790,www.skhklps.edu.hk,PROTESTANTISM / CHRISTIANITY
114880000123,Aided Primary Schools,LOK SIN TONG LEUNG WONG WAI FONG MEMORIAL SCHOOL,SHAN KING ESTATE AREA 7 & 8 TUEN MUN NEW TERRITORIES,113.96356612,22.39627171,814303.0,828572.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24666712,24541756,http://www.lstlwwfms.edu.hk,NOT APPLICABLE
170054000123,Aided Primary Schools,ST. PAUL'S PRIMARY CATHOLIC SCHOOL,81A WONG NAI CHUNG ROAD HAPPY VALLEY HONG KONG,114.1844619,22.27301836,837050.0,814908.0,GIRLS,WHOLE DAY,WAN CHAI,AIDED,PRIMARY,25763181,28824530,https://www.sppcs.edu.hk,CATHOLICISM
112550000323,Aided Primary Schools,THE YUEN YUEN INSTITUTE CHAN KWOK CHIU HING TAK PRIMARY SCHOOL,HING PING ROAD TUEN MUN NEW TERRITORIES,113.98163749,22.41108643,816166.0,830210.0,CO-ED,WHOLE DAY,TUEN MUN,AIDED,PRIMARY,24482211,24483098,http://www.ckcps.edu.hk/tc/index,NOT APPLICABLE
114472000123,Aided Primary Schools,S.K.H. HOLY SPIRIT PRIMARY SCHOOL,LEK YUEN ESTATE SHATIN NEW TERRITORIES,114.19171213,22.38580984,837796.0,827398.0,CO-ED,WHOLE DAY,SHA TIN,AIDED,PRIMARY,26048987,26020789,http://www.skhhsps.edu.hk,PROTESTANTISM / CHRISTIANITY
513130000223,Aided Primary Schools,CHEUNG SHA WAN CATHOLIC PRIMARY SCHOOL,"7 TONKIN STREET, CHEUNG SHA WAN, KOWLOON",114.15586943,22.33397923,834104.1,821658.6,CO-ED,WHOLE DAY,SHAM SHUI PO,AIDED,PRIMARY,27761423,27766201,http://https://www.cswcps.edu.hk,CATHOLICISM
115002000223,Aided Primary Schools,"CHRISTIAN ALLIANCE H.C. CHAN PRIMARY SCHOOL OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG","ESTATE PRIMARY SCHOOL 3, MEI LAM ESTATE, SHATIN, NEW TERRITORIES",114.17527219,22.38015741,836103.0,826772.0,CO-ED,WHOLE DAY,SHA TIN,AIDED,PRIMARY,26998030,26031446,https://www.cahcc.edu.hk,PROTESTANTISM / CHRISTIANITY
115797000123,Aided Primary Schools,MA ON SHAN LING LIANG PRIMARY SCHOOL,LEE ON ESTATE MA ON SHAN SHATIN NEW TERRITORIES,114.2407877,22.42469222,842848.0,831705.0,CO-ED,WHOLE DAY,SHA TIN,AIDED,PRIMARY,26430707,26432077,http://www.mosllps.edu.hk/it-school/php/webcms/public/mainpage/main.php3,PROTESTANTISM / CHRISTIANITY
513083000123,Aided Primary Schools,CHAN'S CREATIVE SCHOOL (HONG KONG ISLAND),82 MARBLE ROAD NORTH POINT HONG KONG,114.2026387,22.29217949,838923.0,817030.0,CO-ED,WHOLE DAY,EASTERN,AIDED,PRIMARY,25614302,25610839,http://www.ccshki.edu.hk,NOT APPLICABLE
512443000123,Aided Primary Schools,KING'S COLLEGE OLD BOYS' ASSOCIATION PRIMARY SCHOOL,58 BRIDGES STREET HONG KONG,114.15002479,22.28348284,833501.0,816067.0,CO-ED,WHOLE DAY,CENTRAL AND WESTERN,AIDED,PRIMARY,25477468,25405634,http://www.kcobaps1.edu.hk,NOT APPLICABLE
513555000123,Aided Primary Schools,S.K.H. LUI MING CHOI MEMORIAL PRIMARY SCHOOL,31 KA WAI MAN ROAD KENNEDY TOWN HONG KONG,114.12414633,22.28152589,830834.0,815851.0,CO-ED,WHOLE DAY,CENTRAL AND WESTERN,AIDED,PRIMARY,28172305,28173950,http://www.skhlmcmps.edu.hk,PROTESTANTISM / CHRISTIANITY
512052000123,Aided Primary Schools,S.K.H. HOLY CARPENTER PRIMARY SCHOOL,"14 KWEI CHOW STREET, KOWLOON",114.19278209,22.31631055,837907.0,819702.0,CO-ED,WHOLE DAY,KOWLOON CITY,AIDED,PRIMARY,23332313,23647757,http://www.hcps.edu.hk,PROTESTANTISM / CHRISTIANITY
514837000123,Aided Primary Schools,THE CHURCH OF CHRIST IN CHINA WANCHAI CHURCH KEI TO PRIMARY SCHOOL,45 TUNG KUN STREET KOWLOON,114.16886739,22.31131722,835443.0,819149.0,CO-ED,WHOLE DAY,YAU TSIM MONG,AIDED,PRIMARY,27804455,27712224,http://keito.school.hk,PROTESTANTISM / CHRISTIANITY
518468000123,Aided Primary Schools,TUNG WAH GROUP OF HOSPITALS WONG YEE JAR JAT MEMORIAL PRIMARY SCHOOL,8 HOK LAM LANE TSEUNG KWAN O NT,114.25943326,22.31932458,844774.0,820038.0,CO-ED,WHOLE DAY,SAI KUNG,AIDED,PRIMARY,27061336,27069336,http://www.wyjjmps.edu.hk,NOT APPLICABLE
514713000123,Aided Primary Schools,TUNG KOON DISTRICT SOCIETY FONG SHU CHUEN SCHOOL,43 TUNG KUN STREET YAUMATEI KOWLOON,114.16856652,22.31129012,835412.0,819146.0,CO-ED,WHOLE DAY,YAU TSIM MONG,AIDED,PRIMARY,27802295,27707590,http://www.tkfsc-school.edu.hk,NOT APPLICABLE
513849000123,Aided Primary Schools,SHARON LUTHERAN SCHOOL,18 CHERRY STREET TAI KOK TSUI KOWLOON,114.16506223,22.31893882,835051.0,819993.0,CO-ED,WHOLE DAY,YAU TSIM MONG,AIDED,PRIMARY,23920221,23981856,http://www.sharonlu.edu.hk,PROTESTANTISM / CHRISTIANITY
543276000123,Aided Primary Schools,LAICHIKOK CATHOLIC PRIMARY SCHOOL,6 HING WAH STREET WEST SHAM SHUI PO KOWLOON,114.14916107,22.33330454,833413.0,821584.0,CO-ED,WHOLE DAY,SHAM SHUI PO,AIDED,PRIMARY,27433836,27432026,http://www.lcps.edu.hk,CATHOLICISM
514136000123,Aided Primary Schools,ST. MARY'S CANOSSIAN SCHOOL,162 AUSTIN ROAD KOWLOON,114.17560302,22.30291895,836137.0,818219.0,GIRLS,WHOLE DAY,YAU TSIM MONG,AIDED,PRIMARY,27390081,23141966,http://www.smcs.edu.hk,CATHOLICISM
535699000123,Aided Primary Schools,CHINESE Y.M.C.A. PRIMARY SCHOOL,AREA 102 TIN SHUI WAI PHASE 4 (SCHOOL 2) YUEN LONG NEW TERRITORIES,114.00056802,22.46390912,818122.0,836057.0,CO-ED,WHOLE DAY,YUEN LONG,AIDED,PRIMARY,24450580,24483960,http://www.cymcaps.edu.hk,PROTESTANTISM / CHRISTIANITY
535613000123,Aided Primary Schools,PUI KIU PRIMARY SCHOOL,12 FU YEE ROAD SIU SAI WAN CHAI WAN HONG KONG,114.2500771,22.26419714,843813.0,813933.0,CO-ED,WHOLE DAY,EASTERN,AIDED,PRIMARY,28977866,28977883,http://www.pkps.edu.hk,NOT APPLICABLE
