,Document_No,number,created_at,text,source,user is verified,user has url,user description,user created at,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,user location,binary_class,ternary_class,sentiment
0,0,5,7/7/2022 18:31,New agenda being pushed. New CoVID Variant and MoneyPox. Close the polls and everyone mail in their votes.,Twitter Web App,FALSE,FALSE,"Space and EV supporter, Flying barefoot, Sailing, and Crypto believer",14/3/2021 01:41,0,0,0,0,166,287,5247,7,None,1,1,positive
1,1,8,7/7/2022 20:36,@CBSNews So this is the 2nd pandemic that Biden said he was going to put together for everyone I mean we were going to have to go through but you spelled MONEYPOX wrong,Twitter for iPhone,FALSE,FALSE,Today's society has become so fake that the truth is offensive. Yeah I'm back ass holes,1/7/2022 12:59,0,0,0,0,14,39,141,0,None,1,1,negative
2,2,9,7/7/2022 20:39,No one cares about Moneypox,Twitter Web App,FALSE,TRUE,The LORD is Good #Audit2020,12/6/2021 18:40,5,8,111,1,22006,123,11076,43,None,1,1,neutral
3,3,14,8/7/2022 00:27,Let's call moneypox what is it: a bullshit. _URL_,Twitter for Android,FALSE,FALSE,None,29/9/2020 19:49,0,0,0,0,311,516,11896,7,None,1,1,neutral
4,4,19,8/7/2022 10:57,They are preparing for Monkeypox/Moneypox already saw news about the threat of this virus. How many will run and hide again? Fool me once…. _URL_,Twitter for iPad,FALSE,FALSE,None,30/4/2020 14:26,0,0,0,0,5,63,8013,0,None,1,1,positive
5,5,25,8/7/2022 15:24,"@SkyNews What ever happened to the moneypox scaremongering sky news were doing, must of git bored of that one tike to go back to covid scaremongering again",Twitter for Android,FALSE,FALSE,Father husband keen amatuer photographer nature lover gym goer (when there's no lockdown),1/9/2012 12:18,0,0,0,0,25,244,1476,2,None,1,1,negative
6,6,650,9/7/2022 02:11,#MonkeyPOX #STD #London Another virus Protect the children  It appears to be 96 percent in NON heterosexual disease. Loosy goosy behavior has incurred another cost  _URL_,Twitter for Android,FALSE,TRUE,The coolest site for empowerment and expression on the internet!,5/9/2017 04:05,0,0,0,1,97,248,19070,0,nyc,1,1,neutral
7,7,1909,9/7/2022 10:10,And whatever happened to MONEYPOX??????? That soon went from Epidemic 2 Zero Quickly. _URL_,Twitter for Android,FALSE,FALSE,None,4/11/2021 15:56,0,0,1,0,272,252,4666,1,"England, United Kingdom",1,1,positive
8,8,2934,9/7/2022 15:18,"@ZubyMusic Do you mean ""Moneypox""? You have inserted an unnecessary ""k"". :grinning_squinting_face:",Twitter Web App,FALSE,FALSE,None,14/10/2011 16:36,0,0,0,0,72,202,2237,0,None,1,1,negative
9,9,3121,9/7/2022 15:59,@jimiuorio It is very serious. Teach at a university which is in the top 10 of QS global university rankings. Students presented last year unable to cope with UG curriculum. They've tried moneypox and I now see they're trying ebola-style virus from Ghana. No.,Twitter Web App,FALSE,FALSE,None,2/7/2022 14:46,0,0,1,0,9,36,186,0,None,1,1,negative
10,10,4280,9/7/2022 20:00,@Not_the_Bee I read that as moneypox.,Twitter for Android,FALSE,FALSE,"I am the man for the job. Red pill taker, Freedom Seeker, Small Cap #AMC ape. Movie Watcher.",1/10/2021 20:47,0,1,0,0,627,757,33335,4,"Chicago, IL",1,1,neutral
11,11,5438,9/7/2022 23:46,Monkey pox *money pox,Twitter for iPhone,FALSE,FALSE,None,26/6/2012 19:01,0,0,0,0,259,114,2878,0,None,1,1,negative
12,12,1,7/7/2022 16:06,@PrisonPlanet Omicron..is a simile for MORONIC. WHAT YOUR MEDIA IS COUNTING ON YOU LIBERALS TO BE. AND WITH MON KEY OR MONEYPOX..IT IS Mking monkeys out of you all TRUTH,Twitter for Android,FALSE,FALSE,"Music degree,aerospace security specialist",7/7/2022 06:05,0,0,0,0,90,735,403,0,None,1,1,neutral
13,13,2,7/7/2022 16:32,"dont cure, dont prevent - but, as designed - kill and maim, add the cobra venom = blood clots and strokes, infertility, ""sudden death"" and with RIGterms comin - now it'll be MONEYpox  _URL_",Twitter Web App,FALSE,FALSE,"Patriot American, anti v6a6x6, anti NWO, meme king, PUREBLOOD = 5G kills, 49ers fan, music, philosophy, Yahuah thru Yahusha Ha Mashiach in Ruach HaQodesh on GAB",25/4/2022 20:57,0,0,0,0,1239,2264,4550,1,"Carson, Ca",1,1,neutral
14,14,3,7/7/2022 17:25,@ABC give it up … there is no moneypox … it's shingles from the vaccine people,Twitter for iPhone,FALSE,FALSE,None,4/1/2020 15:57,0,0,0,0,26,435,861,0,United States,1,1,neutral
15,15,4,7/7/2022 18:14,Money Pox is Spreading... And I'm wondering if we are gonna close the borders to prevent this... OR are they just gonna let it run wild so they can force a lock down and promise freedoms for another untested vaccine for profit...? #Moneypox #Pfizer #pfizerdocuments,Twitter Web App,FALSE,TRUE,"( -_-)︻デ═一:collision: I'm jealous of my parents, I'll never be able to have a kid as cool as me!凸( •̀_•́ )凸 Twitch Affiliate! #APENATION #STONKS #CRYPTO",5/3/2018 00:25,0,0,3,0,268,133,9062,3,On a Screen Near You!,1,1,negative
16,16,6,7/7/2022 20:03,@disclosetv This can't be serious. Are they really pushing moneypox again? I thought they were ashamed that people exposed them and didn't give them the chance to call it a pandemic. Shameless tyrants. _URL_,Twitter for iPhone,FALSE,FALSE,"Just a guy who thinks the truth about the financial markets and politics, is the opposite of what we're told.",22/9/2021 14:33,0,0,0,0,72,142,1102,4,Worldwide,1,1,negative
17,17,7,7/7/2022 20:19,The WP getting wet over more psy-op 'pandemics'! Perhaps vaccine-acquired shingles? Do what the masters Klaus and Bill Gates dost beckon bastians of (non) 'journalistic' Bilderberg sponsored propaganda hell! #FuckOff #MoneyPox _URL_,Twitter for Android,FALSE,FALSE,None,1/11/2018 12:29,0,0,0,0,423,930,7172,1,None,1,1,positive
18,18,10,7/7/2022 21:26,@sovrynmindset Moneypox / vax /mask/lockdown push and polls fuckery to try to manipulate votes,Twitter for iPhone,FALSE,FALSE,None,28/2/2022 16:46,0,0,1,0,269,913,117,1,None,1,1,neutral
19,19,11,7/7/2022 21:43,@disclosetv The most vaccinated continent with Pfizer is Europe where is the epicenter of moneypox. No surprise at all. Nothing to see here!,Twitter Web App,FALSE,FALSE,"Private Citz; There are things that: - 1. I know I know, 2. I don't know if I know, 3. I know I don't know, and 4. I don't know if I don't know.",12/2/2021 16:04,0,0,1,0,156,314,6044,0,None,1,1,positive
20,20,12,7/7/2022 22:27,@jeff_kaye Moneypox is but another deception.,Twitter for iPhone,FALSE,FALSE,Journal of 9/11 Studies _URL_ Dig Within. _URL_ Another Nineteen _URL_,6/12/2018 17:23,0,0,0,0,1452,131,3416,18,None,1,1,neutral
21,21,13,7/7/2022 22:53,Monkeypox/Moneypox is back and being pushed again. Gee must be getting close to elections. Educate yourselves minions before you run and hide again because they said so. They are setting up areas where you can get vaccines…come on man!!!,Twitter for Mac,FALSE,FALSE,None,30/4/2020 14:26,0,0,0,0,5,63,8013,0,None,1,1,neutral
22,22,15,8/7/2022 02:06,"@wxyzdetroit Wear your Sheep Skins sheeple's, Moneypox is here LOLZ",Twitter Web App,FALSE,FALSE,None,2/12/2021 13:18,0,0,0,0,49,130,5235,0,None,1,1,neutral
